system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCO_01007 -0.74850000 -0.69487143 -0.83248719 -0.82708989 
CONTCAR_AuCO_01028 -1.04640000 -1.02388519 -1.18710567 -1.18366787 
CONTCAR_AuCO_02006 -0.57840000 -0.55522111 -0.57263960 -0.56091768 
CONTCAR_AuCO_02009 -0.97590000 -0.97869860 -1.05377695 -1.05721612 
CONTCAR_AuCO_02011 -0.55960000 -0.53461232 -0.53917673 -0.54187707 
CONTCAR_AuCO_03019 -0.97660000 -0.98134952 -1.10319767 -1.10319749 
CONTCAR_AuCO_03028 -1.02230000 -0.99208140 -0.97128646 -0.98029329 
CONTCAR_AuCO_04015 -0.75640000 -0.69990146 -0.65570939 -0.65974540 
CONTCAR_AuCO_0430 -0.72340000 -0.59756025 -0.73050867 -0.65816692 
CONTCAR_AuCO_06023 -0.55150000 -0.48091463 -0.47938457 -0.49857180 
CONTCAR_AuCO_06026 -0.45820000 -0.37776924 -0.48249977 -0.42320029 
CONTCAR_AuCO_07013 -0.88570000 -0.83530022 -0.80218025 -0.82571879 
CONTCAR_AuCO_07029 -0.91580000 -0.91374364 -0.99251211 -0.99123870 
CONTCAR_AuCO_08008 -0.81010000 -0.79073067 -0.73503051 -0.76671337 
CONTCAR_AuCO_08016 -0.63640000 -0.56038207 -0.72741531 -0.69397018 
CONTCAR_AuCO_08021 -0.94370000 -0.90699520 -1.05481399 -1.04896869 
CONTCAR_AuCO_08024 -0.77530000 -0.74682498 -0.78320578 -0.79865974 
CONTCAR_AuCO_0968 -0.49000000 -0.42118215 -0.62628255 -0.58306577 
CONTCAR_AuCO_1110108 -0.78600000 -0.76074575 -0.86050971 -0.85320021 
CONTCAR_AuCO_1110158 -0.96410000 -0.97149450 -1.06325526 -1.06149592 
CONTCAR_AuCO_1110303 -0.51990000 -0.50570705 -0.54828556 -0.58189678 
CONTCAR_AuCO_1110315 -0.95230000 -0.95549288 -1.01558624 -1.04589700 
CONTCAR_AuCO_1110365 -0.70760000 -0.68276792 -0.70813920 -0.71997759 
CONTCAR_AuCO_1110426 -0.72870000 -0.69167556 -0.79510844 -0.77506451 
CONTCAR_AuCO_1110489 -0.87500000 -0.86434373 -0.91775551 -0.93616378 
CONTCAR_AuCO_1110794 -1.02080000 -1.00980532 -1.08799267 -1.10268473 
CONTCAR_AuCO_2330 -0.47540000 -0.43756831 -0.44381197 -0.43254663 
CONTCAR_AuCO_3584 -0.54920000 -0.54636317 -0.57253204 -0.58712375 
CONTCAR_AuCO_4618 -0.85490000 -0.83009878 -0.90415332 -0.91438721 
CONTCAR_AuCO_4676 -0.77500000 -0.72391457 -0.73591634 -0.74428620 
CONTCAR_AuCO_5965 -0.79640000 -0.79605783 -0.76852975 -0.78535461 
CONTCAR_AuCO_600056 -0.98030000 -0.98153692 -1.05970522 -1.08200433 
CONTCAR_AuCO_600128 -1.08170000 -1.07188923 -1.19346494 -1.20264406 
CONTCAR_AuCO_600172 -1.01670000 -0.99113496 -1.18414579 -1.18863880 
CONTCAR_AuCO_600629 -0.95550000 -0.93174257 -1.08916553 -1.11015455 
CONTCAR_AuCO_601031 -0.93600000 -0.91691233 -1.02554769 -1.04218621 
CONTCAR_AuCO_601097 -0.96610000 -0.97683205 -1.09278539 -1.09477917 
CONTCAR_AuCO_601178 -0.95700000 -0.94333552 -1.02755213 -1.02818100 
CONTCAR_AuCO_601249 -0.96580000 -0.93886631 -1.03230378 -1.04062779 
CONTCAR_AuCO_601614 -0.94130000 -0.91950050 -1.09919967 -1.10267331 
CONTCAR_AuCO_601673 -0.92330000 -0.92301901 -0.99147198 -1.00387882 
CONTCAR_AuCO_601890 -0.91810000 -0.88737176 -0.94903295 -0.96193734 
CONTCAR_AuCO_601998 -0.93400000 -0.93593422 -1.09057299 -1.11008301 
CONTCAR_AuCO_602038 -0.94690000 -0.92966084 -1.02224119 -1.02414580 
CONTCAR_AuCO_602162 -0.94070000 -0.89899444 -1.08492361 -1.09094267 
CONTCAR_AuCO_602180 -0.91110000 -0.88872443 -1.04925700 -1.05099206 
CONTCAR_AuCO_700131 -0.77280000 -0.70195896 -0.89975762 -0.86441318 
CONTCAR_AuCO_700148 -0.80070000 -0.78918179 -0.89358107 -0.89461255 
CONTCAR_AuCO_700208 -0.86290000 -0.85044667 -0.97479861 -0.97890993 
CONTCAR_AuCO_700223 -0.88640000 -0.85958101 -0.85268912 -0.85410171 
CONTCAR_AuCO_700580 -0.83220000 -0.80664934 -1.02176762 -1.04179830 
CONTCAR_AuCO_700646 -0.77470000 -0.76634252 -0.75832576 -0.75579942 
CONTCAR_AuCO_700859 -0.74030000 -0.72999461 -0.83299357 -0.85672715 
CONTCAR_AuCO_700935 -0.75910000 -0.74956254 -0.80550548 -0.81569380 
