system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCOOH_0110 0.34780000 0.36002515 0.01401660 0.00428915 
CONTCAR_AuCOOH_0383 0.02350000 0.05491903 -0.38421999 -0.39664951 
CONTCAR_AuCOOH_1081 0.14740000 0.19197739 -0.21514706 -0.23868521 
CONTCAR_AuCOOH_1110138 0.19990000 0.24512297 -0.15360014 -0.16366683 
CONTCAR_AuCOOH_1110384 0.22110000 0.26196422 0.08979074 0.03654090 
CONTCAR_AuCOOH_1110520 0.00560000 -0.03664793 -0.30806622 -0.41842251 
CONTCAR_AuCOOH_1110616 0.31890000 0.37672763 0.10689504 0.10999049 
CONTCAR_AuCOOH_1110762 0.51570000 0.52814919 0.24465174 0.21905919 
CONTCAR_AuCOOH_1610 0.06560000 0.07817442 -0.21669183 -0.25015218 
CONTCAR_AuCOOH_1975 0.03300000 0.06416613 -0.19930635 -0.21143895 
CONTCAR_AuCOOH_2601 0.41690000 0.44518610 0.09879570 0.09763473 
CONTCAR_AuCOOH_3615 0.14340000 0.17291814 -0.04148582 -0.04444798 
CONTCAR_AuCOOH_3853 -0.06080000 -0.02740850 -0.47099705 -0.47572188 
CONTCAR_AuCOOH_4676 0.07700000 0.11134895 -0.07903546 -0.08815087 
CONTCAR_AuCOOH_5320 -0.01840000 -0.01201056 -0.34997800 -0.36845585 
CONTCAR_AuCOOH_5650 -0.08990000 -0.05667407 -0.44571470 -0.48326060 
CONTCAR_AuCOOH_600390 0.07380000 0.07205462 0.00477138 -0.05076921 
CONTCAR_AuCOOH_600816 0.02960000 0.07396120 -0.34786922 -0.38896749 
CONTCAR_AuCOOH_600839 0.02600000 0.05019204 -0.38994582 -0.40322736 
CONTCAR_AuCOOH_600862 0.05600000 0.07458429 -0.29943000 -0.33235938 
CONTCAR_AuCOOH_600882 0.06650000 0.10889241 -0.37239213 -0.39053848 
CONTCAR_AuCOOH_600947 0.14560000 0.15628870 -0.23559572 -0.25058119 
CONTCAR_AuCOOH_601069 0.11250000 0.14065179 -0.10282499 -0.12170806 
CONTCAR_AuCOOH_601111 0.01480000 0.04548496 -0.47577631 -0.48503353 
CONTCAR_AuCOOH_601156 0.00610000 0.01657146 -0.38199738 -0.39707721 
CONTCAR_AuCOOH_601287 -0.05220000 -0.04814944 -0.43257558 -0.44924383 
CONTCAR_AuCOOH_601906 0.05500000 0.06881644 -0.20748594 -0.27117801 
CONTCAR_AuCOOH_602180 0.11790000 0.15961676 -0.19774265 -0.25050503 
CONTCAR_AuCOOH_602222 -0.00970000 0.01185252 -0.21393438 -0.24122697 
CONTCAR_AuCOOH_6348 0.07030000 0.08618208 -0.02113068 -0.09395884 
CONTCAR_AuCOOH_6591 0.05750000 0.08326026 -0.08037472 -0.09917166 
CONTCAR_AuCOOH_700054 0.04960000 0.06870394 -0.15473868 -0.16754784 
CONTCAR_AuCOOH_700075 0.00390000 0.01297556 -0.29467642 -0.32254731 
CONTCAR_AuCOOH_700700 0.12630000 0.15062553 -0.21562847 -0.22817908 
CONTCAR_AuCOOH_700829 0.13600000 0.15992766 -0.16111153 -0.20196552 
CONTCAR_AuCOOH_701008 0.16750000 0.17759709 -0.08063111 -0.17032699 
CONTCAR_AuCOOH_701624 0.15730000 0.18382929 -0.21790939 -0.23467099 
CONTCAR_AuCOOH_701728 0.09690000 0.13633097 -0.22832703 -0.24226649 
CONTCAR_AuCOOH_701729 0.16870000 0.16984833 -0.16920572 -0.17905804 
CONTCAR_AuCOOH_701903 0.08440000 0.10233685 -0.12076893 -0.20209298 
CONTCAR_AuCOOH_701931 0.06680000 0.07362803 -0.17007739 -0.18132352 
CONTCAR_AuCOOH_701983 0.19490000 0.25367042 -0.08426422 -0.11822933 
CONTCAR_AuCOOH_702089 -0.05070000 -0.03243285 -0.25804961 -0.31293016 
CONTCAR_AuCOOH_702243 0.16920000 0.21305342 -0.05761507 -0.09311427 
CONTCAR_AuCOOH_702458 0.01560000 0.02114104 -0.22606648 -0.24112788 
CONTCAR_AuCOOH_702541 -0.02630000 -0.00572809 -0.35378448 -0.36961466 
CONTCAR_AuCOOH_702688 0.14030000 0.16380322 -0.18620676 -0.18481435 
CONTCAR_AuCOOH_702806 -0.05780000 -0.05910176 -0.43592845 -0.43794344 
CONTCAR_AuCOOH_702825 0.02950000 0.06112082 -0.29691290 -0.31507582 
CONTCAR_AuCOOH_702843 0.09220000 0.15436370 0.00843639 -0.00208562 
CONTCAR_AuCOOH_7126 0.05740000 0.07131781 -0.15669282 -0.16488471 
CONTCAR_AuCOOH_7150 0.46660000 0.48556152 0.12013958 0.11156946 
CONTCAR_AuCOOH_800027 0.27380000 0.29316309 0.07274089 0.03061375 
CONTCAR_AuCOOH_800122 0.09220000 0.11625371 -0.10991845 -0.15160493 
CONTCAR_AuCOOH_800275 0.26600000 0.29826977 0.03214616 -0.00578494 
CONTCAR_AuCOOH_800279 0.13430000 0.16131302 -0.22599719 -0.24705702 
CONTCAR_AuCOOH_800341 0.08310000 0.10758935 -0.14329475 -0.14879612 
CONTCAR_AuCOOH_800347 0.13220000 0.13724459 -0.18920372 -0.19267106 
CONTCAR_AuCOOH_800394 0.18830000 0.21462561 -0.04489175 -0.05547197 
CONTCAR_AuCOOH_800435 0.28500000 0.32166341 -0.02663971 -0.07411920 
CONTCAR_AuCOOH_800512 0.18850000 0.20376991 -0.15370433 -0.22571621 
CONTCAR_AuCOOH_800966 0.29160000 0.29213438 0.12134791 0.06727671 
CONTCAR_AuCOOH_801012 -0.02490000 -0.02450666 -0.30484384 -0.31956644 
CONTCAR_AuCOOH_801112 0.23880000 0.26318952 -0.06212324 -0.08052180 
CONTCAR_AuCOOH_801365 0.24020000 0.26201710 -0.14139192 -0.15436147 
CONTCAR_AuCOOH_801389 0.08480000 0.11651686 -0.28256021 -0.28511125 
CONTCAR_AuCOOH_801408 0.09710000 0.14169264 -0.15276400 -0.16094867 
