ID  E_adsorption/eV
0012     6   0.0809
0080     6   0.0096
0092     7  -0.0618
0102     7   0.0104
0110     9   0.3478
0120     6   0.0402
0233     7   0.0527
0280     7  -0.1254
0332     6   0.0024
0339     6  -0.1208
0344     6  -0.1117
0383     6   0.0235
0389     8   0.0725
0430     8   0.2425
0465     7   0.0120
0539     7  -0.0140
0565     6   0.0537
0645     6   0.0948
0647     7  -0.0713
0652     6  -0.1501
0787     6   0.0768
0802     6  -0.0004
0872     9   0.4676
0966     6  -0.0728
1026     6   0.1314
1032     6   0.0534
1072     8   0.1910
1081     6   0.1474
1110132  7   0.1550
1110138  6   0.1999
1110176  6   0.0918
1110221  5   0.1965
1110292  7   0.0970
1110303  7   0.3424
1110305  7   0.2728
1110315  6   0.0683
1110318  8   0.1148
1110339  8   0.3964
1110356  8   0.4013
1110362  6   0.2879
1110365  7   0.2392
1110372  6   0.0525
1110381  7   0.0383
1110384  7   0.2211
1110385  5  -0.0584
1110397  7   0.0480
1110404  8   0.2498
1110452  9   0.4794
1110520  7   0.0056
1110530  7   0.0995
1110532  6   0.3482
1110534  8   0.1517
1110590  7   0.1247
1110611  7   0.2307
1110616  6   0.3189
1110647  6   0.1787
1110686  6   0.1624
1110687  6   0.2256
1110712  8   0.0488
1110714  7   0.1328
1110727  7   0.1522
1110745  8   0.1989
1110761  8   0.2850
1110762  9   0.5157
1110781  8   0.4619
1110785  8   0.5244
1110788  6   0.0341
1110792  6   0.3216
1110794  5   0.0417
1110803  6   0.1466
1180     6   0.0495
1193     6   0.0275
1246     6   0.0366
1268     7  -0.0483
1610     7   0.0656
1671     9   0.4987
1675     7  -0.0096
1681     6  -0.1051
1684     5   0.0614
1702     8   0.2415
1704     6   0.1561
1804     6   0.0843
1969     5   0.0958
1975     7   0.0330
1995     9   0.5044
2057     6  -0.0164
2059     6  -0.1001
2078     6  -0.0265
2135     6   0.0168
2291     8   0.1628
2304     6   0.0019
2468     6   0.1164
2527     6  -0.1306
2537     6   0.0380
2572     7   0.0923
2590     7  -0.0092
2598     6  -0.0537
2601     9   0.4169
2609     7   0.0342
2656     7   0.1022
2672     7   0.1772
2765     6   0.1021
2809     6  -0.0340
2814     7   0.1620
2826     7  -0.0723
2839     6   0.0674
2884     6   0.0113
2922     8   0.0911
2949     6  -0.0842
3029     6  -0.0015
3092     9   0.4307
3112     6  -0.0646
3187     6  -0.1562
3208     6   0.0483
3280     7   0.0082
3375     6   0.0105
3380     6   0.0085
3411     6  -0.0159
3422     6   0.0380
3430     6  -0.0244
3455     7   0.0730
3531     7   0.0697
3537     7  -0.0536
3542     6  -0.0306
3579     8   0.1045
3584     9   0.4909
3615     8   0.1434
3682     7  -0.0299
3697     8   0.1858
3736     6   0.0330
3746     6  -0.0356
3853     6  -0.0608
3859     6  -0.0851
3941     7   0.1578
3945     6  -0.0242
4008     6   0.0364
4086     8   0.1255
4088     6  -0.0163
4102     7   0.1407
4107     6  -0.0538
4118     8   0.1696
4130     7   0.0509
4133     7  -0.0310
4135     6  -0.0404
4179     7   0.0597
